proyecto_id;proyecto_fuente;moneda_id;monto_total_solicitado;monto_total_adjudicado;monto_financiado_solicitado;monto_financiado_adjudicado;tipo_proyecto_id;codigo_identificacion;estado_id;fondo_anpcyt;cantidad_miembros_F;cantidad_miembros_M;sexo_director
14435;CONICET;1;600000.0;600000.0;600000.0;600000.0;24;20720150100026CO;1;;17;8;F
14494;CONICET;1;650000.0;650000.0;650000.0;650000.0;24;13320150100037CO;1;;5;5;F
15015;CONICET;1;600000.0;600000.0;600000.0;600000.0;24;20720150100041CO;1;;19;7;M
15123;CONICET;1;80000.0;80000.0;80000.0;80000.0;24;13320150100018CO;1;;3;7;M
15167;CONICET;1;600000.0;600000.0;600000.0;600000.0;24;20720150100034CO;1;;13;5;F
15301;CONICET;1;200000.0;200000.0;200000.0;200000.0;24;13320150100039CO;1;;0;2;M
15730;CONICET;1;650000.0;600000.0;650000.0;600000.0;24;13320150100027CO;1;;3;4;M
16334;CONICET;1;650000.0;650000.0;650000.0;650000.0;24;13320150100038CO;1;;2;1;F
16428;CONICET;1;600000.0;600000.0;600000.0;600000.0;24;20720150100031CO;1;;37;9;M
16797;CONICET;1;600000.0;600000.0;600000.0;600000.0;24;20720150100019CO;1;;30;20;F
16901;CONICET;1;199440.0;199440.0;199440.0;199440.0;24;13320150100034CO;1;;0;5;M
17064;CONICET;1;650000.0;650000.0;650000.0;650000.0;24;13320150100020CO;1;;0;2;M
17083;CONICET;1;350000.0;349000.0;350000.0;349000.0;24;13320150100016CO;1;;4;2;M
17146;CONICET;1;520000.0;520000.0;520000.0;520000.0;24;13320150100009CO;1;;5;2;M
17316;CONICET;1;650000.0;650000.0;650000.0;650000.0;24;13320150100014CO;1;;11;6;F
17331;CONICET;1;455000.0;455000.0;455000.0;455000.0;24;13320150100028CO;1;;2;2;M
18021;CONICET;1;167663.0;167663.0;167663.0;167663.0;24;21020150100001CO;1;;13;5;F
18030;CONICET;1;275000.0;275000.0;275000.0;275000.0;24;21020150100032CO;1;;3;4;M
18193;CONICET;1;312500.0;275000.0;312500.0;275000.0;24;21020150100052CO;1;;8;1;F
21714;CONICET;1;420000.0;420000.0;420000.0;420000.0;24;20920150100003CO;1;;10;3;F
21715;CONICET;1;600000.0;600000.0;600000.0;600000.0;24;20920150100004CO;1;;8;4;M
21716;CONICET;1;420000.0;420000.0;420000.0;420000.0;24;20820150100038CO;1;;7;9;F
21717;CONICET;1;450000.0;450000.0;450000.0;450000.0;24;22320160100038CO;1;;5;1;M
21718;CONICET;1;450000.0;450000.0;450000.0;450000.0;24;22320160100061CO;1;;6;2;M
21719;CONICET;1;200000.0;190000.0;200000.0;190000.0;24;22420160100023CO;1;;2;2;M
21727;CONICET;1;420000.0;420000.0;420000.0;420000.0;24;20920150100002CO;1;;2;1;F
21728;CONICET;1;418533.17;418533.17;418533.17;418533.17;24;20820150100034CO;1;;5;3;M
21729;CONICET;1;420000.0;420000.0;420000.0;420000.0;24;22320160100044CO;1;;5;1;M
21730;CONICET;1;449950.0;449950.0;449950.0;449950.0;24;22320160100065CO;1;;4;1;F
21731;CONICET;1;350000.0;332500.0;350000.0;332500.0;24;22420160100004CO;1;;4;4;M
21732;CONICET;1;350000.0;332500.0;350000.0;332500.0;24;22420160100039CO;1;;1;2;M
21744;CONICET;1;442000.0;442000.0;442000.0;442000.0;24;22320160100032CO;1;;4;3;M
21745;CONICET;1;200000.0;190000.0;200000.0;190000.0;24;22420160100041CO;1;;2;2;M
21752;CONICET;1;420000.0;420000.0;420000.0;420000.0;24;20920150100007CO;1;;11;4;F
21753;CONICET;1;200000.0;190000.0;200000.0;190000.0;24;22420160100013CO;1;;1;3;F
21754;CONICET;1;200000.0;190000.0;200000.0;190000.0;24;22420160100014CO;1;;4;3;F
21755;CONICET;1;66000.0;65452.0;66000.0;65452.0;24;22420160100017CO;1;;2;6;M
21756;CONICET;1;140000.0;133000.0;140000.0;133000.0;24;22420160100018CO;1;;3;2;M
21757;CONICET;1;350000.0;332500.0;350000.0;332500.0;24;22420160100022CO;1;;1;3;M
