proyecto_id;proyecto_fuente;moneda_id;monto_total_solicitado;monto_total_adjudicado;monto_financiado_solicitado;monto_financiado_adjudicado;tipo_proyecto_id;codigo_identificacion;estado_id;fondo_anpcyt;cantidad_miembros_F;cantidad_miembros_M;sexo_director
21764;CONICET;1;5000000.0;5000000.0;5000000.0;5000000.0;23;22920160100002CO;2;;59;27;M
21765;CONICET;1;4550000.0;4550000.0;4550000.0;4550000.0;23;22920160100003CO;2;;27;21;M
21766;CONICET;1;5000000.0;5000000.0;5000000.0;5000000.0;23;22920160100004CO;2;;30;19;F
21767;CONICET;1;4715590.0;4715590.0;4715590.0;4715590.0;23;22920160100005CO;2;;42;14;M
21768;CONICET;1;5000000.0;5000000.0;5000000.0;5000000.0;23;22920160100033CO;2;;95;50;F
21769;CONICET;1;5000000.0;5000000.0;5000000.0;5000000.0;23;22920160100006CO;2;;24;24;M
21770;CONICET;1;5000000.0;5000000.0;5000000.0;5000000.0;23;22920160100007CO;2;;23;23;F
21771;CONICET;1;5000000.0;5000000.0;5000000.0;5000000.0;23;22920160100008CO;2;;110;45;M
21772;CONICET;1;4519148.78;4519148.78;4519148.78;4519148.78;23;22920160100009CO;2;;26;8;M
21773;CONICET;1;4000000.0;4000000.0;4000000.0;4000000.0;23;22920160100010CO;2;;6;8;M
21774;CONICET;1;4842600.0;4832600.0;4842600.0;4832600.0;23;22920160100011CO;2;;101;61;M
21775;CONICET;1;5000000.0;5000000.0;5000000.0;5000000.0;23;22920160100012CO;2;;56;39;F
21776;CONICET;1;5000000.0;5000000.0;5000000.0;5000000.0;23;22920160100013CO;2;;30;49;M
21777;CONICET;1;5000000.0;4100000.0;5000000.0;4100000.0;23;22920160100014CO;2;;12;3;M
21778;CONICET;1;2185000.0;2185000.0;2185000.0;2185000.0;23;22920160100015CO;2;;4;20;M
21779;CONICET;1;4999100.0;4624100.0;4999100.0;4624100.0;23;22920160100016CO;2;;45;45;M
21780;CONICET;1;5000000.0;5000000.0;5000000.0;5000000.0;23;22920160100017CO;2;;41;18;M
21781;CONICET;1;4983373.45;3926000.0;4983373.45;3926000.0;23;22920160100018CO;2;;35;29;F
21782;CONICET;1;4944085.0;4944085.0;4944085.0;4944085.0;23;22920160100019CO;2;;19;18;F
21783;CONICET;1;5000000.0;5000000.0;5000000.0;5000000.0;23;22920160100022CO;2;;16;25;M
21784;CONICET;1;5000000.0;4100000.0;5000000.0;4100000.0;23;22920160100023CO;2;;22;8;M
21785;CONICET;1;5000000.0;5000000.0;5000000.0;5000000.0;23;22920160100024CO;2;;24;20;M
21786;CONICET;1;5000000.0;5000000.0;5000000.0;5000000.0;23;22920160100025CO;2;;23;28;M
21787;CONICET;1;5000000.0;5000000.0;5000000.0;5000000.0;23;22920160100026CO;2;;11;23;F
21788;CONICET;1;5000000.0;4000000.0;5000000.0;4000000.0;23;22920160100028CO;2;;1;16;M
21789;CONICET;1;5000000.0;5000000.0;5000000.0;5000000.0;23;22920160100030CO;2;;28;15;M
21790;CONICET;1;5000000.0;5000000.0;5000000.0;5000000.0;23;22920160100031CO;2;;29;22;F
21791;CONICET;1;5000000.0;5000000.0;5000000.0;5000000.0;23;22920160100032CO;2;;51;28;F
21792;CONICET;1;2500000.0;2500000.0;2500000.0;2500000.0;23;22920160100034CO;2;;15;9;F
21793;CONICET;1;5000000.0;5000000.0;5000000.0;5000000.0;23;22920160100036CO;2;;65;25;F
21794;CONICET;1;4978996.0;4978996.0;4978996.0;4978996.0;23;22920160100037CO;2;;7;19;M
21795;CONICET;1;5000000.0;5000000.0;5000000.0;5000000.0;23;22920160100038CO;2;;24;12;F
21796;CONICET;1;5000000.0;5000000.0;5000000.0;5000000.0;23;22920160100039CO;2;;25;20;F
21797;CONICET;1;5000000.0;5000000.0;5000000.0;5000000.0;23;22920160100040CO;2;;18;12;F
21798;CONICET;1;5000000.0;5000000.0;5000000.0;5000000.0;23;22920160100042CO;2;;51;27;F
21799;CONICET;1;5000000.0;5000000.0;5000000.0;5000000.0;23;22920160100043CO;2;;23;19;M
21800;CONICET;1;5000000.0;5000000.0;5000000.0;5000000.0;23;22920160100044CO;2;;13;17;F
21801;CONICET;1;5000000.0;5000000.0;5000000.0;5000000.0;23;22920160100045CO;2;;18;19;M
21802;CONICET;1;5000000.0;5000000.0;5000000.0;5000000.0;23;22920160100046CO;2;;45;16;M
21803;CONICET;1;5000000.0;4894000.0;5000000.0;4894000.0;23;22920160100047CO;2;;14;10;M
21804;CONICET;1;5000000.0;5000000.0;5000000.0;5000000.0;23;22920160100048CO;2;;0;31;M
21805;CONICET;1;5000000.0;5000000.0;5000000.0;5000000.0;23;22920160100049CO;2;;31;24;F
21806;CONICET;1;5000000.0;5000000.0;5000000.0;5000000.0;23;22920160100050CO;2;;36;15;M
21807;CONICET;1;5000000.0;5000000.0;5000000.0;5000000.0;23;22920160100051CO;2;;36;38;F
21808;CONICET;1;5000000.0;5000000.0;5000000.0;5000000.0;23;22920160100052CO;2;;22;42;F
21809;CONICET;1;5000000.0;5000000.0;5000000.0;5000000.0;23;22920160100053CO;2;;100;53;F
21810;CONICET;1;5000000.0;5000000.0;5000000.0;5000000.0;23;22920160100054CO;2;;14;31;M
21811;CONICET;1;5000000.0;5000000.0;5000000.0;5000000.0;23;22920160100055CO;2;;13;14;M
21812;CONICET;1;2708000.0;2708000.0;2708000.0;2708000.0;23;22920160100056CO;2;;37;14;F
21813;CONICET;1;5000000.0;5000000.0;5000000.0;5000000.0;23;22920160100057CO;2;;59;36;F
21814;CONICET;1;5000000.0;5000000.0;5000000.0;5000000.0;23;22920160100058CO;2;;24;20;M
